,原句,第一个词,第二个词,tag,第一个词位置,第二个词位置
2060,这些 都是 由 细菌 毒素 引起 的 肌肉 麻痹 的 症状 。,麻痹,毒素,1,8,4
2061,首先 ， 他 按 了 计算器 的 开始 按钮 ， 看看 会 发生 什么 ， 然后 试图 改变 参数,按钮,计算器,2,8,5
2062,这些 资源 讨论 了 20世纪 摄影 的 发展,资源,发展,14,1,7
2063,该 LED 系统 包含 5个 彩色 LED 灯泡 ， 旨在 让 您 平静 下来 ， 并 提供 真正 难忘 的 沐浴 体验,系统,灯泡,3,2,7
2064,将 4g焦亚硫酸钠 分散 在 40 x 30 x 10cm 纸箱 底部 的 一张 防 油纸 之间 ， 纸箱 用 塑料袋 包装 。,纸箱,塑料袋,4,9,19
2065,朗吉努斯 是 一位 虔诚 的 女士 ， 在 通往 伯利恒的公路 上 ， 奉 圣母 的 召唤 建造 了 一座 教堂 ， 她 拒绝 了 朗吉努斯 的 请求 ， 要求 他 的 学生 负责 这 座 教堂 。,女士,教堂,17,5,35
2066,这种 形式 起源于 16世纪 ， 是 对 骑士 冒险 故事 的 一种 模仿 。,形式,16世纪,8,1,3
2067,在 一个 秋高气爽 的 夜晚 ， 总统 乘坐 40分钟 的 直升机 从 白宫 出发 前往 多 佛 。,总统,直升机,11,6,10
2068,加沙 家庭 从 三周 的 战争 中 恢复 过来,家庭,三周,18,1,3
2069,正是 政府 对 金本位制 的 破坏 导致 了 世界 经济 空前 的 崩溃,破坏,崩溃,0,5,12
2070,哮喘 咳嗽 在 夜间 或 清晨 更严重 ， 使人 难以 入睡,咳嗽,哮喘,1,1,0
2071,在 神圣山谷 的 第二天 ， 我们 首先 参观 了 当地 的 一家 Chicha （ 玉米 啤酒 ） 啤酒厂 ， 但 那里 不仅仅 是 啤酒,玉米,啤酒,9,14,23
2072,他们 看到 设备 被 放在 卷展 抽屉 里 ， 看起来 更加 美观 整洁 。,设备,抽屉,4,2,6
2073,奥巴马政府 支持 停止 使用 抗生素 促进 食用 动物 的 生长 和 饲料 效率,抗生素,生长,0,4,9
2074,到 公元 7世纪 ， 欧洲修道院 也 开始 生产 啤酒 。,啤酒,欧洲修道院,16,8,4
2075,年轻 的 工人 需要 更多 的 津贴 ， 因为 更大 的 婴儿 潮 一代 从 劳动力 中 退出 。,一代,劳动力,8,13,15
2076,每次 打开 相机 时 ， 机器 需要 用户 确认,机器,确认,18,5,8
2077,作者 写 了 一本 书 《 金钱球 》 ， 把 棒球 俱乐部 的 传统 主义者 逼 疯了 。,作者,书,17,0,4
2078,我 要 和 几个 女孩 去 买 一束 花,一束,花,13,7,8
2079,微处理器 集群 已 迁移 到 高端 嵌入式 应用 中,微处理器,应用,18,0,7
2080,他们 准备 烤 出 从 烤箱 里 蹦 出来 的 最好 的 蛋糕 。,蛋糕,烤箱,8,12,5
2081,一旦 所有 的 玉米酒 都 收 齐 了 ， 你 就 得 把 它 证明 出来,玉米酒,玉米酒,9,3,3
2082,当时 ， 领航员 用 一个 平底六分仪 和 一个 计时器 完成 了 他 的 工作 。,领航员,平底六分仪,11,2,5
2083,浴室 包括 带 淋浴 的 浴缸 、 洗脸盆 和 卫生间,卫生间,洗脸盆,3,9,7
2084,从 经济 角度 讲 ， 化石 燃料 的 污染 被 认为 是 一种 负 外部 性 ， 应该 征税 。,污染,燃料,1,8,6
2085,第三 ， 化石燃料 造成 的 空气 和 水污染 是 中国 的 一个 巨大 问题 。,水污染,化石燃料,1,7,2
2086,手提箱 里 装满 了 漂亮 的 新 衣服,手提箱,衣服,5,0,7
2087,你 的 身体 有 三种 不同 的 雌激素,雌激素,身体,16,7,2
2088,我 为你 拍摄 的 另 一幅 作品 《 水的低语 》 展示 了 琐罗亚斯德 教 的 水 女神 和 一条 鱼 。,女神,鱼,18,16,19
2089,尽管如此 ， 旺德里奇 ， 一位 曾经 的 历史 教授 ， 现在 是 《 绅士 》 杂志 的 饮料 记者 ， 是 他 让 我 看到 了 黑麦威士忌 的 光明 。,黑麦威士忌,黑麦威士忌,9,26,26
2090,外国 公司 已 进入 中国 的 保险 市场,公司,市场,18,1,7
2091,他 从 报纸 上 得知 他们 离婚 的 事,离婚,报纸,15,6,2
2092,还 包括 我们 的 佣金 授权 表 ， 它 收集 了 作者 的 联系 信息 ， 并 授权 我们 保留 标准 的 5 佣金,作者,信息,18,11,14
2093,在 遥远 的 地下 和 一个 遥远 的 宇宙 中 ， 一个 由 窗户 组成 的 星座 变 暗 了,星座,窗户,13,16,13
2094,内 日内瓦驱动轮 的 驱动 轴 只有 一个 侧面 的 轴承 。,轴,日内瓦驱动轮,2,4,1
2095,茶包 放在 一个 杯子 里 ， 使 整个 过程 更加 简单 明了,茶包,杯子,4,0,3
2096,今年 ， 许多 来自 亚洲 国家 的 电影 进入 电影节,电影,电影,6,7,7
2097,科学家们 在 用 双筒望远镜 研究 狭缝 时 监测 了 深度,科学家们,双筒望远镜,11,0,3
2098,这些人 把 动物性 食物 扔进 湖里,动物性,湖里,6,2,5
2099,阿托斯、波托斯 和 阿拉米斯 是 国王 火枪 手中 非常 有 声望 的 一个 团 的 士兵 ， 就像 国王 的 卫兵 一样 ， 战场 上 的 主要 武器 是 火枪手 ， 一把 非常 重 的 枪 ， 需要 放在 叉子 上 。,团,火枪手,13,12,28
2100,这 所 学校 说服 了 陪审团 制定 了 开创性 的 研究 计划 ， 如 卡尔斯鲁厄光学与光子学学院 。,学校,计划,17,2,11
2101,这笔 钱 被 用于 教育 和 卫生,钱,教育,6,1,4
2102,该 公寓 包括 两间 带 衣柜 的 卧室 、 两间带 浴缸 的 浴室 、 一间 宽敞 的 厨房 和 休息室 。,公寓,卧室,3,1,7
2103,委员会 提出 了 一些 有趣 的 建议,委员会,建议,17,0,6
2104,单不饱和脂肪 的 最大 指数 是 橄榄油 ， 它 是 地中海 饮食 的 主要 成分,橄榄油,橄榄油,9,5,5
2105,我 父亲 把 钱 花 在 他 的 公司 上,钱,公司,6,3,8
2106,我 妻子 很快 就 准备好了 炒鸡蛋 和 黑咖啡 ， 把 它们 和 她 那 本 《 小矮星小姐的一生 》 一起 带回 了 床上 。,妻子,黑咖啡,17,1,7
2107,该 过程 脱离 了 基于 公司 未来 几年 所 面临 挑战 的 灵感 和 创意 产生 阶段,过程,灵感,1,1,12
2108,这 台 机器 装 在 一个 手提箱 里 ， 手提箱 的 大小 和 手提包 一样 ， 重量 不到 10磅,机器,手提箱,4,2,9
2109,在这里 ， 海岸 由 沿海 低地 组成 ， 这些 低地 接收 着 从 岛 的 西半部 布满 湖泊 的 平原 流出 的 许多 小河 。,海岸,低地,18,2,9
2110,传染性结膜炎 是 全世界 最 常见 的 红眼病 。,传染性结膜炎,红眼病,0,0,6
2111,草莓茶 的 味道 几乎 和 浆果 本身 一样 美味 ， 带有 温和 的 水果味 。,草莓茶,草莓茶,9,0,0
2112,培根 是 我们 当地 的 屠夫 在家里 腌制 的 ， 他 还 供应 获奖 的 香肠 。,培根,屠夫,18,0,5
2113,最后 ， 滑块 被 插入 机器 中 ， 并 用于 使 放 线 开关 跳闸,滑块,机器,6,2,5
2114,《 恶魔王子 》 是 一部 科幻 小说 系列 的 五本 书 ， 其中 累积 了 柯尔特·格森 的 故事 。,小说,故事,14,6,17
2115,一个 特别 建造 的 船 的 雕塑 从 港口 出现,雕塑,港口,8,6,8
2116,该 奖项 由 奖杯 和 证书 组成 ， 由 英国 制图 学会 在 斯坦福德 地图 商店 的 支持 下 管理 。,奖项,奖杯,3,1,3
2117,瓦希德 总统 和 来访 的 马来西亚 总理 马哈蒂尔 穆罕默德 在 雅加达 举行 的 会谈 中 讨论 了 印尼亚 齐 省 的 暴力 事件 。,暴力,会谈,15,21,13
2118,土著人 通过 粗俗 甚至 种族主义 的 漫画 一再 被 大众 描述,土著人,漫画,15,0,6
2119,2007年初 ， 该 地区 又 发生 了 一次 煤矿 开采 活动 ， 引发 了 地震 ， 尽管 地震 活动 至少 在 白色 沉降物 首次 出现 以来 就 已经 在 该 地区 出现 了 。,活动,地震,0,10,17
2120,这种 细菌 会引起 皮肤 感染 、 感冒 或 腹泻 。,细菌,腹泻,0,1,8
2121,联合国 已经 把 军队 运送 到 柬埔寨 的 丛林 深处,军队,丛林,6,3,8
2122,他 对 建筑物 墙上 的 壁画 一窍不通 ， 因此 他 在 城市 里 呆 的 时间 不 多 。,墙上,建筑物,2,3,2
2123,但 所有 这些 弗里德曼 宇宙 都 与 宇宙 起源于 爆炸 时 的 那种 膨胀 大 不 相同,宇宙,爆炸,8,4,9
2124,专家们 说 ， 这些 设施 的 建立 有助于 加强 该市 作为 古巴东部 主要 旅游 目的地 之 一 的 地位,专家们,设施,18,0,4
2125,我们 提出 了 一种 感知 驱动 的 自主 城市 车辆,感知,车辆,10,4,9
2126,太阳 历法 是 一种 历法 ， 其 日期 表示 地球 绕 太阳 公转 时 的 位置,日期,位置,18,7,15
2127,将 砝码 加到 天平 的 另 一侧 ， 直到 组织 从 脉络膜 侧 释放 出来 。,组织,脉络膜,8,9,11
2128,克里斯 潘尼特 - 克里斯纳帕尔 （ 夏尔马 ） 从 我们 面前 的 水星 的 1个 水柱 中 制造 了 大约 1吨 的 金 ， 水星 被 放在 里沙 的 壳 里 。,水星,壳,6,11,28
2129,我 甚至 把 盘子 放在 冷 烤箱 里 作为 指示,盘子,烤箱,6,3,6
2130,厄尔 转过身 ， 靠 在 阳台 的 栏杆 上 。,栏杆,阳台,2,7,5
2131,密封垫 把 冷却液 漏 进 了 油 里,冷却液,油,6,2,6
2132,一些 外国 工人 星期五 搬进 了 塞拉贡花园庄园 的 一间 改建 宿舍 。,工人,宿舍,6,2,10
2133,艺术家们 用 老鼠 的 干细胞 创造 了 一块 活 的 皮革 。,艺术家们,一块,17,0,7
2134,纳税人 在 没有 察觉 的 情况 下 向 这家 破产 的 公司 投入 了 数十亿美元 。,数十亿美元,公司,6,14,11
2135,我们 吃 了 卡拉马里开胃菜 ， 和 其他 地方 没 什么 不同 ， 羊腿 尝 起来 像 是 用 罐装 番茄酱 做 的 。,番茄酱,番茄酱,9,19,19
2136,这种 疾病 通过 皮肤 传染 给 另一个 病人,疾病,病人,6,1,7
2137,我 最早 的 研究 兴趣 源于 在 高木公司 实习 。,兴趣,实习,1,4,8
2138,太阳 引起 的 潮汐 和 月亮 引起 的 潮汐 完全 一样,潮汐,太阳,1,3,0
2139,普莱西德湖 附近 的 静 修会 组织者 预感 到 一群人 聚集 在一起 。,组织者,组织者,18,5,5
2140,1946年 ， Maytag 开始 以 Maytag 的 名义 销售 由 其他 公司 生产 的 系列 和 冰箱 。,冰箱,公司,16,16,11
2141,柠檬蛋糕 是 我 丈夫 的 最爱,柠檬蛋糕,柠檬蛋糕,9,0,0
2142,本 发明 的 燃料 处理 系统 从 碳氢化合物 或 碳氢 化合物 混合物 中 产生 氢气,系统,碳氢化合物,17,5,7
2143,建筑师 昨天 公布 的 设计 比 美国 和 西班牙 的 设计 更具 人性化,设计,建筑师,16,4,0
2144,我的朋友 一个人 到 北欧 的 几个 国家 旅行,我的朋友,国家,6,0,6
2145,在 演习 期间 ， 电工 在 整个 大楼 进行 听力 检查 。,电工,检查,18,4,10
2146,这 使 你 略 高于 我 所 链接 文章 的 建议 ， 但 并非 不可思议,建议,文章,8,10,8
2147,白细胞 迁移 到 身体 组织 中 ， 在 那个 地方 定居 ， 而 不是 留在 血液 中 。,白细胞,组织,6,0,4
2148,脱水机 最 适合 干燥 高 水分 的 草药 。,脱水机,干燥,18,0,3
2149,这个 革命性 的 系统 包含 DVD 的 参考 指南 、 电话 和 在线 支持 等 （ 就像 拥有 自己 的 个人 减肥 教练 247 ）,系统,参考,3,3,7
2150,气体 被 密封 在 装有 横截 面积 为 0 10 mz 的 活塞 的 容器 中,气体,容器,4,0,14
2151,最终 ， 这 开始 动摇 了 人们 对 各省 联盟 的 信心 。,联盟,各省,13,9,8
2152,附录 中 提供 了 这些 练习 的 解决方案,解决方案,附录,15,7,0
2153,即使 在 旧金山 地震 中 ， 大部分 震害 都是 地震 后 的 火灾 造成 的 。,火灾,地震,1,12,9
2154,巴拉科亚 是 西班牙 征服者 在 古巴 建立 的 第一个 村庄 ， 其 旅游 景点 的 推广 是 该 东部 城市旅游信息中心 （ infotur ） 的 主要 目标 。,村庄,征服者,16,9,3
2155,从 2009年初 开始 ， 一个 新 的 学生 组织 正在 威斯康星州 成立 。,学生,组织,12,7,8
2156,炸弹 被 发现 放在 一个 垃圾桶 里,炸弹,垃圾桶,4,0,5
2157,飞机 第二天 从 莱夫科尼科 非法 机场 起飞,飞机,机场,8,0,5
2158,公司 已 签订 了 一份 转售商 协议,公司,协议,18,0,6
2159,越来 越多 的 人 陷入 贫困 ， 特别 是 那些 已经 在 努力 维持 生计 的 人,人,贫困,18,3,5
2160,超市 的 过道 设计 得 很好,过道,超市,2,2,0
2161,委内瑞拉 派 大使 到 巴勒斯坦 边境,大使,边境,6,2,5
2162,乙肝病毒 引起 的 肝癌 是 男性 癌症 的 前 三大 死因 之 一 ， 也是 女性 癌症 的 主要 原因 。,癌症,乙肝病毒,1,6,0
2163,长期 服用 后 严格 戒除 的 一个 常见 副作用 是 咖啡因 戒 断 引起 的 头痛 ， 这 也是 上瘾 的 明显 迹象,头痛,咖啡因,1,15,10
2164,这 场 战争 还 导致 了 其他 附带 的 帝国 征服 。,战争,征服,0,2,10
2165,背包客 在 短时间 内 要 到 几个 国家 旅行,背包客,国家,6,0,7
2166,炭疽病 在 一个 手提箱 里 ， 在 去 加拿大 的 路上,炭疽病,手提箱,4,0,3
2167,管理 单位 人员 用 蓝色 油漆 标出 专用 线,人员,油漆,11,2,5
2168,茶 是 放在 杯子 里 的 ， 不 像 菜单 上 说 的 放在 壶 里,茶,杯子,4,0,3
2169,上周五 ， 这 名 青少年 和 其他 数千名 北 爱尔兰 学生 在 接受 注射 后 病重 。,注射,学生,18,13,10
2170,当 他们 长大后 ， 这 对 双胞胎 建立 了 一座 城市,双胞胎,城市,17,6,10
2171,目前 到达 地球 的 光 大约 是 在 100000年前 在 太阳 中 产生 的 。,光,太阳,1,4,10
2172,大约 有 5个 欧盟 人口 出生 在 第三国 ， 多达 1 / 12 的 人 生活 在 一个 与 他们 成长 的 国家 不同 的 国家,人口,国家,8,4,25
2173,一只 熊猫 搬进 了 达尔文 郊外 的 公园,熊猫,公园,6,1,7
2174,当时 还有 一座 文艺复兴 时期 的 建筑 是 由 城墙 建成 的,建筑,城墙,18,6,9
2175,弗兰基 457 斯宾蒂诺 是 一个 舒适 的 锡 天花板 的 斯特拉托利亚 创建 了 一对 意大利 裔 美国 朋友 从 皇后区 都 叫 弗兰基,斯特拉托利亚,一对,16,10,13
2176,在 这种 情况 下 ， 医生 用 激素 止血,医生,激素,11,5,7
2177,为了 使 动物 能够 进行 这种 广泛 的 活动 ， 鸡 的 喙 有 大量 的 神经 供应 ， 包括 许多 机械 感受器 、 热 感受器 和 伤害 感受器 。,喙,鸡,2,12,10
2178,这个 部门 达到 了 目标 ， 事故 减少 了 75起,部门,减少,18,1,7
2179,词根 词汇 来源于 世界上 六种 最 广泛 使用 的 语言 （ 汉语 、 印地语 、 英语 、 西班牙语 、 阿拉伯语 和 俄语 ） 。,词汇,语言,8,1,9
2180,这 把 9毫米 手枪 藏 在 笔记本 电脑 的 电池 槽 里 ， 可能 被 用来 进行 劫机 企图,手枪,电池,4,3,9
2181,在 875例 merkel细胞癌 的 文献 回顾 中 ， 34例 死亡 的 原因 是 肿瘤 。,肿瘤,死亡,0,13,9
2182,这间 公寓 最近 重新 装修 了 厨房 和 浴室 ， 光线 充足,公寓,厨房,3,1,6
2183,共沸物 是 从 等 摩尔 混合物 中 蒸馏 出来 的 。,共沸物,混合物,8,0,5
2184,图 中 是 一位 戴 面纱 的 女 医生 站 在床上 的 女 病人 旁边 ， 还 戴着 面纱,医生,面纱,11,8,18
2185,她 把 文件 移 到 了 一个 共享 文件夹 中,文件夹,共享,6,8,7
2186,这 段 视频 改编 自 Zoom ， 演示 了 如何 使用 吸管 和 装满 水 的 瓶子 发出 低沉 和 高亢 的 声音,瓶子,水,5,16,14
2187,我的朋友 开始 了 一段 新 的 关系,我的朋友,关系,18,0,6
2188,这 堵 墙 是 2000年前 新西兰 的 第一批 定居者 瓦塔哈 人 修建 的 ， 他们 后来 差点 被 毛利人 消灭 。,墙,定居者,16,2,8
2189,我 注意到 一些 来自 宝莱坞 电影 的 印度 演员 有时 会 出演 旁遮普 电影 。,演员,电影,8,8,13
2190,在 将 水果 装入 纸箱 之前 ， 将 其 放在 溜槽 、 包装袋 或 转盘 上,水果,溜槽,4,2,10
2191,该镇 把 钱 投入 到 学校 、 街景 和 城市服务 的 新 建筑 中 。,钱,学校,6,2,5
2192,我们 对 罗马 人 的 美味 感到 畏缩 不 前 ， 他们 把 小鸟 淹死 在 酒 里 ， 然后 把 它们 吃光 。,美味,小鸟,8,5,13
2193,今早 ， 在 威斯顿128号公路 上 ， 通勤者 和 假日 旅行者 遭遇 严重 延误 。,旅行者,延误,18,9,12
2194,猪肉 被 称为 其它 白肉 ， 是 一种 来源于 猪 的 肉 ， 有 多种 切块 ， 几乎 可以 用 任何 方式 烹调 。,肉,猪,8,11,9
2195,一瓶 满 是 液体 的 瓶子 从 看台 上 飞 了 出来 ， 击中 了 来访 的 门将 里 贝罗 的 右眼 下方 。,一瓶,液体,5,0,3
2196,他 在 评论 中 加上 了 解释,解释,评论,6,6,2
2197,美国海军陆战队 今早 已 登陆 港口,美国海军陆战队,港口,6,0,4
2198,尤其 是 ， 我们 错过了 音乐 是 荷兰 日常 文化 的 一部分,音乐,文化,2,5,9
2199,大约 两个小时 后 ， 警察 接到 匿名 消息 说 枪手 在 附近 的 一栋 公寓 楼 里 。,枪手,公寓,18,9,14
2200,主轴 的 侧隙 一个 方向 由 手柄 的 曲柄 防止 ， 另一个 方向 则 由 一根 铜管 防止,曲柄,手柄,2,8,6
2201,一到 外面 ， 蟒蛇 就 被 放在 一个 袋子 里 ， 放在 一个 狗笼 里 。,蟒蛇,袋子,6,3,8
2202,目前 的 名单 包括 南瓜麦芽酒 、 本地 啤酒花麦芽酒 和 有机 小麦 燕麦麦芽酒 。,燕麦麦芽酒,啤酒花麦芽酒,9,11,7
2203,这里 是 在 疫苗 中 存在 的 脑膜炎球菌 ， 它 可以 从 疫苗 中 去除 疼痛 或 成为 疼痛 的 携带者 。,疼痛,疫苗,1,15,12
2204,这本书 的 作者 是 如此 具有 历史 意义 ， 以至于 他 或 她 的 任何 作品 都 可能 被 认为 是 值得 注意 的 。,这本书,作者,16,0,2
2205,她 三月份 做 最后一次 手术 时 ， 奶奶 给 她 买 了 一个 手提箱 ， 里面 有 新 睡衣,手提箱,睡衣,5,13,18
2206,学生 通过 积极 参与 学习 过程 来 展示 他 的 理解力,学生,参与,18,0,3
2207,海獭 通常 在 游泳 时 肚子 上 有 一块 石头 ， 用来 打碎 鲍鱼 。,海獭,石头,11,0,9
2208,一个 可爱 的 小玩意 主页 贴纸 已经 进入 你 的 主页 清单,主页,主页,6,4,10
2209,HC 的 律师们 就 美联社 分部 发生 了 一场 混战,律师们,混战,18,2,9
2210,斜坡 离 房子 越来越远 了,斜坡,房子,18,0,2
2211,在 管子 喷雾器 将 钎焊 合金 应用于 管子 外径 之前 ， 管子成形器 还 将 管子 切割 成 一定 长度,喷雾器,合金,11,2,5
2212,我 把 文件 拖 到 文件 共享 文件夹,文件夹,文件夹,6,7,7
2213,事实上 ， 威尔斯 先生 和 他 妻子 走后 ， 她 想到 的 最 主要 的 事情 是 钥匙 在 书桌 上,钥匙,书桌,4,17,19
2214,听众 通过 互联网 （ 称为 流媒体 ） 实时 接收 WBAI ， 使用 以下 各种 音频 格式 之 一,听众,格式,11,0,15
2215,展览 上 展出 了 一本 名 为 《 太阳王的生活与艺术 》 的 书 ， 书名 为 《 太阳王的生活与艺术 》 。,书,太阳王的生活与艺术,14,11,16
2216,这 是 一部 强 有力 的 小说 ， 写 得 很好 ， 很 清楚 ， 作者 是 一位 经验丰富 、 富有 同情心 的 观察者 。,小说,观察者,16,6,23
2217,真菌 生长 和 黄曲霉毒素污染 是 由 以下 因素 引起 的 ： 温度 高 、 湿度 高 、 土壤 条件 差,黄曲霉毒素污染,湿度,1,3,14
2218,到 目前 为止 ， 一位 关注 搜索引擎 优化 的 与会者 已经 深入 研究 了 先进 的 搜索引擎 优化 概念 。,与会者,概念,18,9,18
2219,名人 版税 流入 荷兰避税所,版税,版税,6,1,1
2220,有一次 我 发现 一个 钱包 ， 里面 有 30英镑 ， 我 把 钱包 交 了 进去 ， 但 把 钱 拿走 了,钱包,30英镑,5,4,8
2221,就像 血液 一样 ， 纳米 机器人 向 每个 细胞 输送 氧气,氧气,细胞,6,10,8
2222,美国政府 很大 一部分 来自 希腊 组织 ， 许多 总统 来自 希腊 组织,美国政府,组织,8,0,11
2223,该 文件 包含 可 更改 设置 的 说明,文件,设置,14,1,5
2224,香港苏富比拍卖行 昨日 以 350万英镑 的 价格 出售 了 一枚 钻石 戒指 ， 其中 包括 一颗 重 874克拉 的 蓝色 钻石 。,钻石,戒指,18,9,10
2225,埃德蒙 从 牛仔裤 的 后 口袋 里 拿出 一本 绿色 的 小螺旋 笔记本 。,口袋,牛仔裤,2,5,2
2226,案例 研究 详细 说明 了 难民 从 现在 到 过去 的 来源,案例,难民,14,0,5
2227,一个 贪婪 的 房地产 开发商 向 海洋 释放 毒素 。,毒素,海洋,6,8,6
2228,这 封 信 装 在 南达科他州监狱小卖部 出售 的 一个 印有 邮票 的 信封 里 。,信,信封,4,2,12
2229,我们 已经 提供 了 详细 的 说明 ， 列出 了 你 需要 遵循 的 每一步 ， 以便 进行 你 自己 的 DNA 样本 收集,说明,每一步,14,6,14
2230,在 上海 的 一条 大街 上 ， 人们 走过 一张 宣传 奢侈 时尚 品牌 的 海报 。,海报,时尚,14,15,12
2231,当 这些 燃料 燃烧 时 ， 会 造成 空气污染 ， 导致 全球 变暖 ， 并 导致 烟雾 、 酸雨 和 呼吸道 疾病 。,空气污染,疾病,0,8,21
2232,此 问题 已 发送 到 打印机,问题,打印机,6,1,5
2233,他 把 一个 样品 放 进 漏斗 里 ， 在 放置 三年后 ， 把 所有 的 东西 都 密封 在 一个 玻璃罐 里 。,样品,漏斗,6,3,6
2234,挪威派代表团 访问 马达加斯加 政府,挪威派代表团,政府,6,0,3
2235,一个 美国陆军精英研究中心 制定 了 一项 执行 巴以和平协议 的 计划 ， 该 协议 要求 大约 两万名 装备 精良 的 军队,美国陆军精英研究中心,计划,17,1,8
2236,这个 咖啡机 的 各种 传感器 和 保险丝 位于 连接 加热 元件 的 白色 护套 中,传感器,咖啡机,2,4,1
2237,他 把 面粉 倒 进 管弦 乐队 的 大号 里 。,面粉,大号,6,2,8
2238,这些 细菌 引起 的 疾病 从 感冒 和 流感 等 常见 疾病 到 致残,细菌,流感,0,1,8
2239,家庭 前线 行动 和 合作 伙伴 向 军中 儿童 运送 玩具,玩具,儿童,6,10,8
2240,这个词 已 被 许多 讨论 这 一 现象 的 出版物 所 使用,出版物,现象,14,9,7
2241,我 喜欢 喝 草莓茶,草莓茶,草莓茶,9,3,3
2242,硬皮病 是 一种 身体 结缔 组织 疾病 ， 会导致 皮肤 增厚 和 硬化 。,硬皮病,硬化,0,0,12
2243,那 人 拿走 了 司机 的 钥匙 ， 直到 警察 来了 才 离开,司机,钥匙,9,4,6
2244,校园 由 最 值得 注意 的 建筑物 组成 ， 包括 校长 塔 、 中央图书馆 和 大学奥林匹克体育场 ， 用于 1968年 奥运会 和 1986年 世界杯 足球赛 。,校园,建筑物,3,0,6
2245,这一代 没有 世代 的 毒蛇 ， 仍旧 乖僻 ， 硬 着 颈项 ， 在 罪孽 上 刚 硬 。,这一代,毒蛇,13,0,4
2246,本发明 使用 多 个 服务器 处理 事务,本发明,服务器,11,0,4
2247,今年 已 向 爱达荷州 的 三所 公立 特许 学校 发放 了 传播补助金 。,传播补助金,学校,6,11,8
2248,这 张 照片 来自 戏剧 高潮 的 场景 ， 在那里 ， 以前 被 称为 夏洛克 的 角色 一边 用 刀 威胁 安东尼奥 ， 一边 索要 他 的 一磅 硬币 。,照片,场景,8,2,7
2249,我 将 结果 放入 一个 mysql数据库,结果,mysql数据库,6,2,5
2250,该 网站 关注 有关 安可 计划 的 信息 传播 和 交流 。,网站,传播,18,1,8
2251,公共汽车 地板 上 袋子 里 的 鸡 似乎 不 欣赏 司机 的 辛苦,地板,公共汽车,2,1,0
2252,这笔 钱 投资 于 股票,钱,股票,6,1,4
2253,毒素 被 排入 大海 。,毒素,大海,6,0,3
2254,摔 下来 的 罐子 在 我 的 右 前 脑 造成 了 硬膜 下 血肿 ， 在 CT 上 显示 出来,罐子,血肿,0,3,14
2255,加沙 警方 用 泥土 重建 了 至少 一个 警察局 ， 全境 居民 用 泥土 建造 简易 住宅 。,警方,泥土,11,1,13
2256,一些 大规模 的 农民 不再 使用 单 犁头 犁 耕地 ， 而是 开始 使用 多股 犁 。,农民,犁,11,3,15
2257,两位 独立 医学 专家 的 一份 报告 得出结论 ， NFL 球员 中 葡萄球菌感染率 很 低 。,报告,专家,16,6,3
2258,这 三只 母狮 和 两只 幼崽 被 达里 附近 一个 农民 竖起 的 作物 保护 栅栏 电 击 死 。,栅栏,农民,16,15,10
2259,这次 展览 汇集 了 罕见 的 中国 陶瓷 和 绘画 作品,展览,陶瓷,3,1,7
2260,一位 以色列 部长 派 军队 进入 这些 学校 以 促进 征兵 。,军队,学校,6,4,7
2261,这 道 南式自制蔬菜牛肉汤 是 我 做 的 第一道 菜,南式自制蔬菜牛肉汤,南式自制蔬菜牛肉汤,9,2,2
2262,按照 上面 的 第一个 定义 ， 寄生虫 在 数十亿年前 从 生命 形式 从 原始 有机 汤 进化 而来 开始 进化 。,形式,汤,8,11,15
2263,大多数 与 健康 相关 的 数据 是 通过 动物 模型 开发 的,健康,数据,15,2,5
2264,根据 权利 要求 1 所述 的 方法 ， 其 特征 在于 ， 质量 降低 的 持续 时间 至少 限于 由 切换 过程 触发 的 干扰 的 持续 时间,干扰,过程,1,24,21
2265,这本书 在 过去几天内 被 放 进 了 每家 商店,这本书,商店,6,0,8
2266,摩尔多瓦 的 学生 抗议 活动 正在 演变成 推特革命 。,抗议,推特革命,0,3,7
2267,这 出 戏 在 上周二 （ 12月22日 ） 晚上7点 过后不久 上演 ， 格林 看到 浓烟 是 从 篝火 中 冒 出来 的 。,浓烟,篝火,8,14,17
2268,有效 地 利用 工作站 集群 来 实现 科学 应用 需要 高度 灵活 的 软件 环境 。,集群,工作站,13,4,3
2269,鼻干燥 引起 鼻出血 、 咳嗽 、 喘息 和 其他 短期 呼吸 问题,鼻干燥,咳嗽,0,0,4
2270,在 这个 美丽 的 重新想象 中 ， 故事 从一 个 孤儿院 开始 ， 搬到 一个 神奇 的 地方 ， 在 那里 糖果 有 一个性 潜台词,故事,孤儿院,8,7,10
2271,帕克·邓拉普 吓 了 一 跳 ， 一个 漂亮 的 精灵 从 一盏 破旧 的 灯 里 跳 出来 。,精灵,灯,8,9,14
2272,感冒 和 流感 引起 鼻 、 喉 和 口腔 粘膜 的 炎症,流感,炎症,0,2,11
2273,英国 第一台 蒸汽动力振动器 可以 追溯 到 19世纪80年代 早期 ， 由 一位 美国 医生 研制 。,蒸汽动力振动器,医生,16,2,12
2274,本章 对 最 重要 的 优化 技术 进行 了 介绍 和 简要 概述,本章,技术,14,0,6
2275,马里兰州环境部 已经 努力 减少 汽车 和 工厂 等 污染源 的 污染量 。,污染源,工厂,1,8,6
2276,不断 逼近 的 黑暗 是 由 战争 的 双重 恐怖 和 一场 神秘 的 瘟疫 造成 的 。,黑暗,瘟疫,1,3,14
